full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,76133,76133,12258,3930,3930,552,https://github.com/shareAI-lab/learn-claude-code
Alishahryar1/free-claude-code,53394,53394,8567,11138,11138,1652,https://github.com/Alishahryar1/free-claude-code
ChinaSiro/claude-code-sourcemap,9656,9656,14625,83,83,-54,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1778,1778,2603,83,83,44,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,53572,53572,4668,2662,2662,235,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,65634,65634,6530,2159,2159,200,https://github.com/shanraisshan/claude-code-best-practice
davila7/claude-code-templates,30545,30545,3463,647,647,251,https://github.com/davila7/claude-code-templates
musistudio/claude-code-router,37095,37095,3119,912,912,102,https://github.com/musistudio/claude-code-router
LING71671/Open-ClaudeCode,945,945,1218,17,17,-3,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,24836,24836,3548,1455,1455,190,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,24881,24881,2878,1180,1180,118,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3295,3295,3810,24,24,-12,https://github.com/oboard/claude-code-rev
anthropics/claude-code-action,8801,8801,2129,337,337,132,https://github.com/anthropics/claude-code-action
ponponon/claude_code_src,2335,2335,3526,10,10,-13,https://github.com/ponponon/claude_code_src
liuup/claude-code-analysis,3892,3892,2056,252,252,62,https://github.com/liuup/claude-code-analysis
Piebald-AI/claude-code-system-prompts,12585,12585,2043,589,589,26,https://github.com/Piebald-AI/claude-code-system-prompts
ykdojo/claude-code-tips,10040,10040,811,604,604,63,https://github.com/ykdojo/claude-code-tips
pedrohcgs/claude-code-my-workflow,1563,1563,3009,139,139,190,https://github.com/pedrohcgs/claude-code-my-workflow
diet103/claude-code-infrastructure-showcase,10016,10016,1230,47,47,6,https://github.com/diet103/claude-code-infrastructure-showcase
